"PlayerName","Team","POS","ADP","IP","mW","mSV","mERA","mWHIP","mSO","PTS","aPOS","Dollars"
"Jacob deGrom","NYM","SP","4.3","192","$4.6","($1.4)","$11.1","$10.8","$6.9","$32.0","$9.3","$42.3"
"Gerrit Cole","NYY","SP","7.3","196","$6.0","($1.4)","$5.8","$9.4","$6.8","$26.8","$9.3","$37.1"
"Shane Bieber","CLE","SP","9.8","193","$4.9","($1.4)","$6.7","$7.2","$6.1","$23.6","$9.3","$33.9"
"Trevor Bauer","LAD","SP","15.5","197","$5.4","($1.4)","$4.1","$4.8","$5.6","$18.5","$9.3","$28.8"
"Walker Buehler","LAD","SP","22.0","167","$3.2","($1.4)","$5.0","$6.8","$3.4","$17.0","$9.3","$27.3"
"Yu Darvish","SDP","SP","16.5","178","$3.6","($1.4)","$4.7","$5.2","$4.6","$16.7","$9.3","$27.0"
"Clayton Kershaw","LAD","SP","32.4","160","$3.8","($1.4)","$5.0","$4.9","$2.0","$14.3","$9.3","$24.6"
"Jack Flaherty","STL","SP","31.7","178","$3.4","($1.4)","$3.4","$4.7","$4.0","$14.1","$9.3","$24.5"
"Luis Castillo","CIN","SP","28.0","187","$4.4","($1.4)","$4.5","$0.8","$4.9","$13.3","$9.3","$23.6"
"Brandon Woodruff","MIL","SP","32.0","174","$3.0","($1.4)","$3.3","$4.5","$3.6","$12.9","$9.3","$23.3"
"Max Scherzer","LAD","SP","24.8","169","$3.3","($1.4)","$2.6","$3.5","$4.6","$12.6","$9.3","$23.0"
"Aaron Nola","PHI","SP","21.8","191","$4.1","($1.4)","$2.9","$1.9","$5.1","$12.6","$9.3","$22.9"
"Lucas Giolito","CHW","SP","16.9","179","$3.6","($1.4)","$1.3","$3.3","$4.8","$11.5","$9.3","$21.8"
"Tyler Glasnow","TBR","SP","43.2","158","$3.7","($1.4)","$1.6","$3.0","$4.3","$11.2","$9.3","$21.5"
"Blake Snell","SDP","SP","40.3","158","$3.2","($1.4)","$4.0","$1.3","$3.4","$10.5","$9.3","$20.8"
