Player,Team,Positions,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS
Daulton Varsho,ARI,"C,LF,CF,RF",428.0,64.0,19.0,61.0,10.0,0.255,0.322,109.0,23.0,3.0,42.0,102.0,0.456,0.777
Anthony Rizzo,NYY,1B,503.0,79.0,26.0,78.0,6.0,0.26,0.34,131.0,23.0,2.0,61.0,92.0,0.462,0.8029999999999999
Eric Hosmer,SD,1B,466.0,56.0,15.0,66.0,4.0,0.267,0.326,124.0,23.0,1.0,41.0,99.0,0.41600000000000004,0.742
Seiya Suzuki,CHC,"LF,RF",477.0,72.0,23.0,72.0,9.0,0.266,0.349,127.0,24.0,2.0,61.0,117.0,0.46299999999999997,0.812
Willy Adames,MIL,SS,541.0,83.0,25.0,75.0,6.0,0.258,0.331,139.0,30.0,2.0,59.0,168.0,0.456,0.787
Ramon Laureano,OAK,"CF,RF",443.0,65.0,20.0,59.0,12.0,0.251,0.313,111.0,25.0,2.0,40.0,128.0,0.447,0.759
Andrew Vaughn,CWS,"1B,LF,RF",434.0,59.0,18.0,58.0,2.0,0.251,0.32,109.0,23.0,1.0,44.0,104.0,0.44,0.76
Jeff McNeil,NYM,"2B,LF",478.0,64.0,13.0,57.0,4.0,0.27699999999999997,0.331,132.0,28.0,2.0,38.0,73.0,0.418,0.7490000000000001
Tommy Pham,CIN,"LF,CF",436.0,69.0,17.0,56.0,13.0,0.258,0.354,112.0,22.0,2.0,65.0,114.0,0.429,0.7829999999999999
Yoan Moncada,CWS,3B,538.0,82.0,19.0,71.0,5.0,0.264,0.35100000000000003,142.0,31.0,3.0,73.0,163.0,0.434,0.785
Alex Bregman,HOU,3B,523.0,88.0,24.0,87.0,3.0,0.271,0.36700000000000005,142.0,32.0,1.0,80.0,86.0,0.469,0.8370000000000001
Brandon Crawford,SF,SS,494.0,70.0,19.0,75.0,7.0,0.264,0.332,130.0,28.0,2.0,51.0,113.0,0.43700000000000006,0.769
Pavin Smith,ARI,"1B,LF,CF,RF",448.0,60.0,12.0,52.0,2.0,0.267,0.331,120.0,24.0,4.0,43.0,93.0,0.418,0.7490000000000001
Tyler Stephenson,CIN,"C,1B",404.0,58.0,13.0,54.0,1.0,0.26899999999999996,0.34299999999999997,109.0,23.0,1.0,45.0,93.0,0.419,0.762
AJ Pollock,LAD,"LF,CF",422.0,62.0,22.0,71.0,7.0,0.27399999999999997,0.325,115.0,24.0,1.0,32.0,95.0,0.485,0.8109999999999999
Giancarlo Stanton,NYY,"LF,RF,DH",507.0,76.0,34.0,96.0,1.0,0.266,0.349,135.0,23.0,1.0,64.0,159.0,0.509,0.858
Christian Yelich,MIL,LF,508.0,91.0,23.0,78.0,14.0,0.267,0.373,135.0,26.0,3.0,86.0,145.0,0.461,0.8340000000000001
Nathaniel Lowe,TEX,1B,506.0,74.0,21.0,73.0,6.0,0.261,0.353,132.0,24.0,2.0,71.0,149.0,0.436,0.7879999999999999
Luis Urias,MIL,"2B,3B,SS",490.0,73.0,20.0,69.0,6.0,0.254,0.33299999999999996,124.0,25.0,2.0,58.0,117.0,0.43200000000000005,0.765
Francisco Lindor,NYM,SS,568.0,91.0,27.0,84.0,14.0,0.258,0.332,147.0,28.0,3.0,63.0,111.0,0.45299999999999996,0.785
Trey Mancini,BAL,"1B,DH",553.0,79.0,24.0,79.0,1.0,0.265,0.32799999999999996,146.0,31.0,2.0,52.0,140.0,0.452,0.78
Jeremy Pena,HOU,SS,426.0,56.0,16.0,52.0,9.0,0.252,0.302,107.0,18.0,3.0,30.0,114.0,0.41600000000000004,0.718
Kike Hernandez,BOS,"2B,CF",520.0,81.0,22.0,69.0,2.0,0.254,0.325,132.0,32.0,3.0,55.0,114.0,0.452,0.777
Yandy Diaz,TB,"1B,3B",436.0,62.0,13.0,58.0,1.0,0.268,0.359,117.0,21.0,1.0,63.0,83.0,0.406,0.7659999999999999
Eloy Jimenez,CWS,LF,557.0,76.0,31.0,96.0,1.0,0.271,0.32,151.0,29.0,1.0,40.0,147.0,0.49700000000000005,0.8170000000000001
Luke Voit,SD,1B,453.0,68.0,26.0,77.0,1.0,0.253,0.32799999999999996,114.0,19.0,1.0,51.0,140.0,0.466,0.795
Marcell Ozuna,ATL,LF,497.0,73.0,26.0,85.0,3.0,0.267,0.342,133.0,22.0,1.0,57.0,124.0,0.469,0.8109999999999999
Anthony Santander,BAL,"RF,DH",509.0,68.0,25.0,74.0,2.0,0.251,0.29600000000000004,128.0,30.0,1.0,32.0,118.0,0.456,0.7509999999999999
Garrett Cooper,MIA,"1B,RF",397.0,55.0,16.0,57.0,2.0,0.26899999999999996,0.34299999999999997,107.0,18.0,2.0,44.0,119.0,0.441,0.784
Ke'Bryan Hayes,PIT,3B,542.0,77.0,15.0,63.0,11.0,0.263,0.32799999999999996,143.0,32.0,4.0,52.0,129.0,0.418,0.745
J.D. Martinez,BOS,"LF,RF,DH",559.0,86.0,29.0,96.0,1.0,0.276,0.345,154.0,35.0,2.0,59.0,149.0,0.494,0.84
Christian Walker,ARI,1B,466.0,65.0,18.0,65.0,2.0,0.254,0.321,118.0,26.0,2.0,46.0,125.0,0.431,0.752
Joey Votto,CIN,1B,507.0,80.0,30.0,90.0,1.0,0.257,0.361,130.0,25.0,1.0,83.0,139.0,0.48100000000000004,0.8420000000000001
Carlos Correa,MIN,SS,541.0,86.0,25.0,88.0,1.0,0.273,0.35200000000000004,148.0,32.0,1.0,65.0,124.0,0.47600000000000003,0.8270000000000001
Brandon Belt,SF,1B,446.0,74.0,26.0,70.0,3.0,0.257,0.355,115.0,23.0,2.0,68.0,129.0,0.489,0.8440000000000001
Randy Arozarena,TB,"LF,RF",534.0,87.0,23.0,74.0,18.0,0.262,0.331,140.0,29.0,3.0,55.0,162.0,0.45299999999999996,0.784
Eddie Rosario,ATL,LF,476.0,67.0,23.0,78.0,8.0,0.267,0.314,127.0,24.0,2.0,33.0,78.0,0.467,0.7809999999999999
C.J. Cron,COL,1B,487.0,73.0,29.0,91.0,1.0,0.272,0.345,132.0,28.0,1.0,54.0,123.0,0.512,0.856
Jesus Sanchez,MIA,"LF,RF",478.0,62.0,23.0,71.0,3.0,0.254,0.314,121.0,19.0,4.0,42.0,142.0,0.46,0.774
Alec Bohm,PHI,3B,442.0,58.0,13.0,58.0,4.0,0.264,0.325,117.0,21.0,1.0,40.0,114.0,0.41,0.735
Frank Schwindel,CHC,1B,502.0,73.0,24.0,78.0,3.0,0.26899999999999996,0.315,135.0,28.0,1.0,33.0,99.0,0.47100000000000003,0.785
