Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG
Lucas Giolito,CWS,SP,179.8,210.0,12.0,0.0,3.73,1.14,74.0,149.0,57.0,26.0,30.0,30.0,9.0,2.0
Hyun Jin Ryu,TOR,SP,164.8,143.0,12.0,0.0,3.98,1.22,73.0,163.0,39.0,23.0,29.0,29.0,9.0,1.0
Gerrit Cole,NYY,SP,194.1,253.0,15.0,0.0,3.16,1.03,68.0,152.0,49.0,26.0,31.0,31.0,8.0,3.0
Alek Manoah,TOR,SP,150.8,166.0,10.0,0.0,3.87,1.2,65.0,127.0,53.0,21.0,27.0,27.0,7.0,0.0
Jacob deGrom,NYM,SP,158.3,217.0,12.0,0.0,2.5,0.92,44.0,109.0,36.0,16.0,27.0,26.0,5.0,1.0
Nathan Eovaldi,BOS,SP,168.9,172.0,11.0,0.0,3.93,1.21,74.0,163.0,41.0,22.0,30.0,30.0,8.0,0.0
Jordan Montgomery,NYY,SP,158.2,161.0,10.0,0.0,4.03,1.25,71.0,149.0,49.0,23.0,30.0,30.0,8.0,0.0
Jose Berrios,TOR,SP,190.6,195.0,13.0,0.0,3.91,1.18,83.0,171.0,54.0,25.0,31.0,31.0,9.0,1.0
Alex Wood,SF,SP,140.8,140.0,9.0,0.0,3.89,1.25,61.0,133.0,43.0,17.0,27.0,27.0,8.0,0.0
Joe Ryan,MIN,SP,135.2,140.0,9.0,0.0,4.03,1.18,61.0,120.0,40.0,22.0,26.0,26.0,7.0,0.0
Clayton Kershaw,LAD,SP,141.6,148.0,11.0,0.0,3.55,1.11,56.0,125.0,32.0,21.0,25.0,25.0,6.0,0.0
Aaron Nola,PHI,SP,185.5,211.0,12.0,0.0,3.74,1.15,77.0,161.0,52.0,26.0,31.0,31.0,9.0,2.0
Walker Buehler,LAD,SP,191.1,198.0,14.0,0.0,3.6,1.13,76.0,164.0,52.0,24.0,31.0,31.0,7.0,0.0
Shane McClanahan,TB,SP,147.6,160.0,10.0,0.0,3.87,1.25,64.0,135.0,49.0,19.0,28.0,28.0,8.0,0.0
Max Scherzer,NYM,SP,179.1,226.0,13.0,0.0,3.28,1.05,65.0,141.0,46.0,25.0,30.0,30.0,8.0,1.0
